Player,Age,Team,Pos,MIN,MPG,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Josh Green,23.0,DAL,Wing,1463,25.7,80,58.0%,65,34%,44,14%,39,4%,39,18%,95,32%,13,16%,54,48%
AJ Griffin,20.2,ATL,Wing,128,9.1,2,35.9%,7,10%,70,21%,66,8%,68,28%,31,13%,90,49%,78,62%
Quentin Grimes,23.5,DET,Wing,115,19.2,0,26.2%,19,17%,22,11%,72,9%,43,20%,57,17%,85,46%,81,63%
Quentin Grimes,23.5,NYK,Wing,874,19.4,44,52.6%,35,22%,1,2%,28,3%,2,5%,85,27%,84,46%,94,73%
Rui Hachimura,25.7,LAL,Wing,1785,26.3,91,60.8%,78,39%,68,19%,77,10%,70,29%,46,16%,14,17%,17,32%
Ashton Hagans,24.3,POR,Combo,302,18.9,15,45.6%,93,39%,74,27%,1,1%,37,28%,8,4%,41,28%,21,32%
Tyrese Haliburton,23.7,IND,Point,2223,32.2,81,57.5%,47,22%,28,19%,63,12%,44,30%,35,4%,86,43%,77,48%
Tim Hardaway Jr.,31.6,DAL,Wing,2107,26.7,35,51.6%,10,13%,41,14%,90,14%,67,28%,45,15%,81,43%,72,58%
James Harden,34.2,LAC,Combo,2464,34.2,69,54.4%,34,19%,38,19%,26,6%,24,25%,10,4%,97,51%,80,56%
Jaden Hardy,20.3,DAL,Combo,852,12.5,29,49.2%,36,20%,49,22%,83,14%,66,36%,66,13%,45,31%,53,44%
Gary Harris,29.1,ORL,Wing,1292,23.9,74,57.0%,19,18%,27,12%,40,4%,24,16%,92,30%,70,37%,86,67%
Joe Harris,32.2,DET,Forward,163,10.2,21,50.0%,8,15%,19,10%,0,0%,8,10%,100,36%,83,38%,96,74%
Tobias Harris,31.3,PHI,Forward,2359,33.7,52,53.6%,52,35%,85,30%,83,10%,90,40%,15,7%,40,18%,17,25%
Josh Hart,28.7,NYK,Wing,2678,33.1,23,49.6%,77,38%,71,21%,54,5%,60,26%,22,10%,40,26%,23,36%
Isaiah Hartenstein,25.5,NYK,Big,1889,25.2,86,65.1%,83,73%,67,25%,32,1%,52,26%,0,0%,24,0%,17,0%
Sam Hauser,25.9,BOS,Forward,1653,20.9,98,63.6%,0,9%,4,5%,31,3%,2,8%,81,24%,98,58%,100,83%
Jordan Hawkins,21.5,NOP,Combo,1020,17.9,44,51.7%,9,11%,7,9%,76,13%,17,23%,83,17%,94,49%,92,67%
Jaxson Hayes,23.4,LAL,Big,777,11.6,99,75.0%,98,88%,8,10%,16,1%,6,11%,25,1%,25,1%,22,1%
Killian Hayes,22.3,DET,Combo,986,23.5,16,45.9%,7,9%,99,44%,95,22%,98,66%,29,7%,10,18%,7,25%
Gordon Hayward,33.6,OKC,Forward,419,16.1,56,54.3%,63,37%,71,23%,96,15%,83,38%,27,9%,25,15%,13,24%
Gordon Hayward,33.6,CHA,Wing,797,31.9,30,50.5%,48,26%,98,35%,96,20%,98,55%,7,5%,6,13%,2,19%
Scoot Henderson,19.7,POR,Point,1744,28.1,7,43.4%,74,33%,47,22%,79,15%,65,37%,30,4%,30,26%,26,30%
Taylor Hendricks,19.9,UTA,Forward,818,21.5,58,54.5%,29,24%,38,16%,42,4%,38,20%,98,31%,54,26%,83,56%
Tyler Herro,23.8,MIA,Combo,1405,33.5,62,53.3%,14,13%,77,29%,85,15%,88,44%,19,6%,69,38%,51,43%
Buddy Hield,30.9,IND,Wing,1328,25.5,77,57.6%,30,21%,6,7%,42,4%,10,11%,31,13%,96,56%,89,68%
Buddy Hield,30.9,PHI,Wing,811,25.4,66,55.7%,27,20%,15,9%,73,9%,34,18%,40,14%,87,48%,80,62%
Haywood Highsmith,26.9,MIA,Wing,1316,20.3,76,57.3%,45,25%,49,15%,16,2%,28,17%,81,26%,59,33%,71,58%
