Player,Age,Team,Pos,MIN,MPG,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Royce O'Neale,30.4,PHX,Wing,741,24.7,58,54.8%,80,70%,12,28%,31,33%,10,29%,73,42%,60,37%,62,38%
Royce O'Neale,30.4,BKN,Wing,1165,23.8,67,55.8%,13,54%,67,44%,2,0%,57,42%,76,43%,64,37%,64,38%
Chuma Okeke,25.2,ORL,Wing,320,11.4,54,54.1%,93,75%,87,50%,78,50%,92,50%,43,38%,19,30%,28,33%
Josh Okogie,25.2,PHX,Wing,916,16.7,19,48.5%,18,56%,65,44%,2,0%,58,42%,8,29%,14,29%,12,29%
Onyeka Okongwu,22.9,ATL,Big,1394,25.4,85,64.7%,72,74%,66,45%,96,100%,72,47%,86,44%,0,6%,47,35%
Isaac Okoro,22.8,CLE,Wing,1879,27.2,79,57.9%,37,61%,43,39%,95,75%,52,41%,53,39%,86,40%,74,39%
Kelly Olynyk,32.5,TOR,Big,739,26.4,72,60.1%,51,69%,85,51%,88,58%,89,53%,0,58%,17,29%,42,34%
Kelly Olynyk,32.5,UTA,Big,1004,20.1,82,63.6%,89,77%,66,45%,44,33%,55,42%,73,41%,100,45%,98,44%
Eugene Omoruyi,26.7,WAS,Big,287,8.2,7,47.7%,8,54%,16,30%,44,33%,15,30%,0,0%,92,42%,28,32%
Cedi Osman,28.6,SAS,Forward,1253,17.4,85,59.5%,92,74%,35,38%,35,36%,33,38%,65,44%,75,38%,74,39%
Kelly Oubre,27.9,PHI,Wing,2030,29.9,25,49.6%,49,63%,33,36%,27,30%,28,35%,13,31%,21,31%,16,31%
Chris Paul,38.5,GSW,Combo,1529,26.4,58,53.0%,100,80%,91,55%,55,40%,80,48%,0,24%,84,41%,54,38%
Cameron Payne,29.2,MIL,Combo,666,14.2,79,56.2%,27,56%,79,50%,84,50%,86,50%,2,27%,90,42%,69,39%
Cameron Payne,29.2,PHI,Combo,574,18.5,42,51.7%,5,42%,79,50%,24,33%,77,47%,0,20%,77,40%,60,39%
Gary Payton II,30.9,GSW,Wing,665,15.1,93,61.7%,86,72%,80,47%,0,,82,47%,38,37%,49,35%,48,36%
Julian Phillips,20.0,CHI,Forward,283,7.9,23,50.7%,4,50%,85,50%,71,50%,88,50%,86,48%,0,14%,35,34%
Scotty Pippen,23.0,MEM,Point,505,24.1,60,53.9%,56,62%,12,32%,93,57%,44,42%,0,50%,80,40%,78,41%
Mason Plumlee,33.7,LAC,Big,627,14.6,58,58.2%,32,66%,57,44%,12,0%,57,43%,0,0%,0,0%,0,0%
Brandin Podziemski,20.7,GSW,Combo,1936,26.2,60,53.1%,79,67%,47,40%,22,32%,37,39%,33,38%,68,39%,64,39%
Jakob Poeltl,28.0,TOR,Big,1319,26.4,88,65.6%,77,75%,85,51%,44,33%,85,51%,0,,0,,0,
Aleksej Pokusevski,21.8,CHA,Big,327,18.2,14,51.0%,65,72%,12,26%,30,11%,6,21%,0,33%,67,39%,64,37%
Jordan Poole,24.4,WAS,Combo,2341,30.0,30,49.4%,81,68%,26,35%,62,42%,24,37%,11,32%,32,33%,27,33%
Craig Porter,23.7,CLE,Combo,556,12.1,55,52.8%,56,62%,64,45%,80,48%,69,46%,0,17%,75,40%,34,35%
Jontay Porter,24.0,TOR,Big,329,13.2,9,49.0%,6,52%,14,29%,44,33%,14,29%,0,60%,34,33%,50,36%
Michael Porter,25.3,DEN,Wing,2564,31.7,83,58.7%,73,69%,70,45%,86,52%,90,49%,77,43%,79,39%,79,40%
Otto Porter,30.4,TOR,Forward,165,11.0,10,46.7%,4,50%,85,50%,96,100%,98,67%,0,29%,0,29%,11,29%
Bobby Portis,28.7,MIL,Big,1984,24.2,45,56.5%,41,68%,80,50%,72,46%,76,48%,67,41%,89,41%,84,41%
Kristaps Porzingis,28.2,BOS,Big,1689,29.6,65,58.9%,75,74%,78,50%,75,46%,78,49%,0,11%,63,38%,67,38%
Micah Potter,25.6,UTA,Big,182,12.2,63,58.8%,65,73%,8,25%,0,,8,25%,0,57%,0,14%,96,43%
Dwight Powell,32.3,DAL,Big,781,14.2,95,69.3%,85,76%,16,30%,90,67%,35,38%,0,50%,0,0%,0,33%
Norman Powell,30.4,LAC,Wing,1956,25.7,84,59.0%,70,68%,59,43%,70,46%,63,44%,99,54%,69,37%,93,43%
Taurean Prince,29.6,LAL,Wing,2092,26.8,78,57.7%,48,63%,75,46%,47,38%,68,44%,39,37%,95,43%,80,40%
Payton Pritchard,25.8,BOS,Point,1675,20.4,93,59.0%,98,74%,63,45%,86,50%,79,47%,50,43%,65,38%,68,39%
Olivier-Maxence Prosper,21.3,DAL,Forward,215,8.0,2,38.7%,15,56%,0,0%,21,33%,2,25%,0,21%,0,27%,2,23%
Trevelin Queen,26.7,ORL,Wing,138,12.6,4,40.6%,62,67%,23,33%,31,33%,23,33%,0,17%,0,13%,0,14%
Neemias Queta,24.3,BOS,Big,269,11.7,78,62.5%,62,72%,26,36%,96,100%,37,39%,0,,0,,0,
Immanuel Quickley,24.4,NYK,Combo,708,23.6,71,54.5%,29,57%,87,51%,48,40%,83,48%,8,30%,91,43%,65,39%
Immanuel Quickley,24.4,TOR,Combo,1262,33.2,43,51.7%,88,70%,27,35%,23,33%,19,35%,5,29%,85,41%,70,39%
Lester Quinones,23.0,GSW,Wing,316,11.3,17,48.4%,15,56%,11,26%,95,75%,28,35%,0,64%,11,28%,39,35%
Jahmi'us Ramsey,22.4,TOR,Forward,105,17.6,17,48.5%,96,78%,8,25%,96,100%,42,40%,0,33%,0,21%,7,25%
Julius Randle,28.9,NYK,Forward,1625,35.3,31,51.8%,60,68%,54,42%,67,45%,56,43%,95,50%,6,28%,20,31%
Duop Reath,27.3,POR,Big,1194,17.6,35,55.4%,35,67%,47,41%,76,50%,49,41%,91,46%,38,34%,54,36%
Austin Reaves,25.4,LAL,Combo,2607,31.8,83,57.4%,92,74%,86,51%,60,42%,81,48%,18,33%,61,38%,51,37%
Cameron Reddish,24.2,LAL,Wing,962,20.5,11,47.3%,21,57%,4,23%,13,10%,2,20%,30,35%,32,32%,31,34%
Paul Reed,24.4,PHI,Big,1505,18.4,37,55.7%,30,64%,45,40%,88,56%,63,44%,19,28%,84,41%,55,36%
Naz Reid,24.2,MIN,Big,1943,24.0,57,57.9%,26,64%,50,42%,44,33%,49,41%,79,42%,90,42%,88,42%
Jared Rhoden,24.2,DET,Wing,228,16.3,94,62.5%,98,80%,87,50%,90,62%,98,57%,0,43%,0,43%,91,43%
Nick Richards,25.9,CHA,Big,1730,25.8,94,68.8%,83,76%,75,49%,33,20%,65,45%,0,,0,0%,0,0%
Josh Richardson,30.1,MIA,Combo,1080,25.1,67,54.3%,70,65%,92,56%,67,43%,86,50%,43,39%,41,34%,35,36%
Duncan Robinson,29.5,MIA,Wing,1895,27.9,87,59.7%,77,70%,83,48%,14,14%,76,46%,74,43%,83,39%,81,40%
Mitchell Robinson,25.6,NYK,Big,765,24.7,52,57.5%,13,58%,41,40%,0,,41,40%,0,,0,,0,
Orlando Robinson,23.3,MIA,Big,258,11.7,59,58.2%,16,60%,65,45%,12,0%,37,39%,0,100%,0,40%,0,57%
Jeremiah Robinson-Earl,23.0,NOP,Big,229,9.6,12,50.0%,4,50%,31,38%,96,100%,90,55%,51,35%,0,27%,30,32%
David Roddy,22.6,MEM,Wing,1077,22.4,8,46.9%,17,56%,30,34%,13,13%,20,32%,34,36%,13,28%,15,31%
Derrick Rose,35.1,MEM,Point,399,16.6,33,50.9%,67,64%,9,31%,95,63%,33,39%,0,47%,23,32%,50,38%
Terry Rozier,29.6,CHA,Combo,1064,35.5,66,54.2%,28,57%,79,50%,87,51%,92,50%,3,28%,80,41%,43,37%
Terry Rozier,29.6,MIA,Point,974,31.4,23,49.3%,9,48%,51,43%,70,46%,58,44%,41,41%,30,34%,43,37%
Rayan Rupert,19.4,POR,Combo,562,17.6,13,44.1%,9,43%,8,28%,3,0%,2,24%,23,35%,65,39%,48,37%
D'Angelo Russell,27.7,LAL,Point,2478,32.6,70,56.5%,84,69%,40,40%,44,40%,35,40%,31,38%,95,43%,88,42%
